item,slift,complementizer,main.subject,embedded.subject,main.object1,main.object2,main.prep,embedded.tense,main.passive
261,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
262,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
263,FALSE,NONE,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
264,FALSE,NONE,NONE,NONE,NONE,NONE,TRUE,NONE,FALSE
265,FALSE,NONE,NONE,NONE,NONE,NONE,TRUE,NONE,FALSE
266,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
267,FALSE,NONE,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
268,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
269,FALSE,NONE,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
270,TRUE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
271,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
272,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
273,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
274,FALSE,NONE,NONE,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
275,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,FALSE,NONE,FALSE
276,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,TRUE,NONE,FALSE
277,TRUE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
278,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
279,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
280,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
281,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
282,FALSE,FINITE,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
283,FALSE,NONE,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
284,FALSE,NONE,NONE,NOM,NONE,NONE,FALSE,TENSED,FALSE
285,FALSE,NONE,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
286,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,FALSE,NONE,FALSE
287,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
288,FALSE,NONE,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
289,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
290,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
291,FALSE,NONE,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
